Code,Grouping,Classification,Specialization,eMed_Profession,Not Sure,MD,DO,eMed_Speciality,eMed_Speciality_ID,Comments,eMed_SubSpeciality,eMed_SubSpeciality_ID,Comments
207K00000X,Allopathic & Osteopathic Physicians,Allergy & Immunology,,Physician,167,184,185,Allergy & Immunology,889,,,,
207KA0200X,Allopathic & Osteopathic Physicians,Allergy & Immunology,Allergy,Physician,167,184,185,Allergy and Immunology,889,,Allergy,2531,
207KI0005X,Allopathic & Osteopathic Physicians,Allergy & Immunology,Clinical & Laboratory Immunology,Physician,167,184,185,Allergy and Immunology,889,,Clinical & Laboratory Immunology,2532,
207L00000X,Allopathic & Osteopathic Physicians,Anesthesiology,,Physician,167,184,185,Anesthesiology,81,,,,
207LA0401X,Allopathic & Osteopathic Physicians,Anesthesiology,Addiction Medicine,Physician,167,184,185,Anesthesiology,81,,Addiction Medicine,2533,
207LC0200X,Allopathic & Osteopathic Physicians,Anesthesiology,Critical Care Medicine,Physician,167,184,185,Anesthesiology,81,,Critical Care Medicine,2534,
207LH0002X,Allopathic & Osteopathic Physicians,Anesthesiology,Hospice and Palliative Medicine,Physician,167,184,185,Anesthesiology,81,,Hospice and Palliative Medicine,2535,
207LP2900X,Allopathic & Osteopathic Physicians,Anesthesiology,Pain Medicine,Physician,167,184,185,Anesthesiology,81,,Pain Medicine,2536,
207LP3000X,Allopathic & Osteopathic Physicians,Anesthesiology,Pediatric Anesthesiology,Physician,167,184,185,Anesthesiology,81,,Pediatric Anesthesiology,915,
207LP4000X,Allopathic & Osteopathic Physicians,Anesthesiology,Physician Nutrition Specialist,Physician,167,184,185,Anesthesiology,81,,Physician Nutrition Specialist,2537,
,,,,Physician,167,184,185,Anesthesiology,81,,Perioperative Medicine,2538,
,,,,Physician,167,184,185,Anesthesiology,81,,Adult Cardiac Anesthesiology,2539,
,,,,Physician,167,184,185,Anesthesiology,81,,Neurocritical Care,2540,
208U00000X,Allopathic & Osteopathic Physicians,Clinical Pharmacology,,Physician,167,184,185,Clinical Pharmacology,320,,,,
208C00000X,Allopathic & Osteopathic Physicians,Colon & Rectal Surgery,,Physician,167,184,185,Colon and Rectal Surgery,891,,,,
207N00000X,Allopathic & Osteopathic Physicians,Dermatology,,Physician,167,184,185,Dermatology,82,,,,
207NI0002X,Allopathic & Osteopathic Physicians,Dermatology,Clinical & Laboratory Dermatological Immunology,Physician,167,184,185,Dermatology,82,,Clinical & Laboratory Dermatological Immunology,2541,
207ND0900X,Allopathic & Osteopathic Physicians,Dermatology,Dermatopathology,Physician,167,184,185,Dermatology,82,,Dermatopathology,2542,
207ND0101X,Allopathic & Osteopathic Physicians,Dermatology,MOHS-Micrographic Surgery,Physician,167,184,185,Dermatology,82,,MOHS Micrographic Surgery,1919,
207NP0225X,Allopathic & Osteopathic Physicians,Dermatology,Pediatric Dermatology,Physician,167,184,185,Dermatology,82,,Pediatric Dermatology,2543,
207NS0135X,Allopathic & Osteopathic Physicians,Dermatology,Procedural Dermatology,Physician,167,184,185,Dermatology,82,,Procedural Dermatology,2544,
204R00000X,Allopathic & Osteopathic Physicians,Electrodiagnostic Medicine,,Physician,167,184,185,Electrodiagnostic Medicine,2715,,,,
207P00000X,Allopathic & Osteopathic Physicians,Emergency Medicine,,Physician,167,184,185,Emergency Medicine,2,,,,
207PE0004X,Allopathic & Osteopathic Physicians,Emergency Medicine,Emergency Medical Services,Physician,167,184,185,Emergency Medicine,2,,Emergency Medical Services,2545,
207PH0002X,Allopathic & Osteopathic Physicians,Emergency Medicine,Hospice and Palliative Medicine,Physician,167,184,185,Emergency Medicine,2,,Hospice and Palliative Medicine,2546,
207PT0002X,Allopathic & Osteopathic Physicians,Emergency Medicine,Medical Toxicology,Physician,167,184,185,Emergency Medicine,2,,Medical Toxicology,924,
207PP0204X,Allopathic & Osteopathic Physicians,Emergency Medicine,Pediatric Emergency Medicine,Physician,167,184,185,Emergency Medicine,2,,Pediatric Emergency Medicine,927,
207PS0010X,Allopathic & Osteopathic Physicians,Emergency Medicine,Sports Medicine,Physician,167,184,185,Emergency Medicine,2,,Sports Medicine,928,
207PE0005X,Allopathic & Osteopathic Physicians,Emergency Medicine,Undersea and Hyperbaric Medicine,Physician,167,184,185,Emergency Medicine,2,,Undersea and Hyperbaric Medicine,929,
,,,,Physician,167,184,185,Emergency Medicine,2,,Pain Medicine,926,
,,,,Physician,167,184,185,Emergency Medicine,2,,Neurocritical Care,925,
207Q00000X,Allopathic & Osteopathic Physicians,Family Medicine,,Physician,167,184,185,Family Medicine,71,,,,
207QA0401X,Allopathic & Osteopathic Physicians,Family Medicine,Addiction Medicine,Physician,167,184,185,Family Medicine,71,,Addiction Medicine,2547,
207QA0000X,Allopathic & Osteopathic Physicians,Family Medicine,Adolescent Medicine,Physician,167,184,185,Family Medicine,71,,Adolescent Medicine,930,
207QA0505X,Allopathic & Osteopathic Physicians,Family Medicine,Adult Medicine,Physician,167,184,185,Family Medicine,71,,Adult Medicine,2548,
207QD0401X,Allopathic & Osteopathic Physicians,Family Medicine,Diabetology,Physician,167,184,185,Family Medicine,71,,Diabetology,2549,
207QG0300X,Allopathic & Osteopathic Physicians,Family Medicine,Geriatric Medicine,Physician,167,184,185,Family Medicine,71,,Geriatric Medicine,2550,
207QH0002X,Allopathic & Osteopathic Physicians,Family Medicine,Hospice and Palliative Medicine,Physician,167,184,185,Family Medicine,71,,Hospice and Palliative Medicine,2551,
207QB0002X,Allopathic & Osteopathic Physicians,Family Medicine,Obesity Medicine,Physician,167,184,185,Family Medicine,71,,Obesity,2552,
207QP0002X,Allopathic & Osteopathic Physicians,Family Medicine,Physician Nutrition Specialist,Physician,167,184,185,Family Medicine,71,,Physician Nutrition Specialist,2553,
207QS1201X,Allopathic & Osteopathic Physicians,Family Medicine,Sleep Medicine,Physician,167,184,185,Family Medicine,71,,Sleep Medicine,2554,
207QS0010X,Allopathic & Osteopathic Physicians,Family Medicine,Sports Medicine,Physician,167,184,185,Family Medicine,71,,Sports Medicine,2555,
208D00000X,Allopathic & Osteopathic Physicians,General Practice,,Physician,167,184,185,General Practice,807,,,,
208M00000X,Allopathic & Osteopathic Physicians,Hospitalist,,Physician,167,184,185,Hospitalist,2713,,,,
202C00000X,Allopathic & Osteopathic Physicians,Independent Medical Examiner,,Physician,167,184,185,Independent Medical Examiner,2712,,,,
202D00000X,Allopathic & Osteopathic Physicians,Integrative Medicine,,Physician,167,184,185,Integrative Medicine,818,,,,
207R00000X,Allopathic & Osteopathic Physicians,Internal Medicine,,Physician,167,184,185,Internal Medicine,626,,,,
207RA0401X,Allopathic & Osteopathic Physicians,Internal Medicine,Addiction Medicine,Physician,167,184,185,Internal Medicine,626,,Addiction Medicine,2556,
207RA0000X,Allopathic & Osteopathic Physicians,Internal Medicine,Adolescent Medicine,Physician,167,184,185,Internal Medicine,626,,Adolescent Medicine,2557,
207RA0002X,Allopathic & Osteopathic Physicians,Internal Medicine,Adult Congenital Heart Disease,Physician,167,184,185,Internal Medicine,626,,Adult Congenital Heart Disease,2558,
207RA0001X,Allopathic & Osteopathic Physicians,Internal Medicine,Advanced Heart Failure and Transplant Cardiology,Physician,167,184,185,Internal Medicine,626,,Advanced Heart Failure and Transplant Cardiology,2559,
207RA0201X,Allopathic & Osteopathic Physicians,Internal Medicine,Allergy & Immunology,Physician,167,184,185,Internal Medicine,626,,Allergy and Immunology,2560,
207RC0000X,Allopathic & Osteopathic Physicians,Internal Medicine,Cardiovascular Disease,Physician,167,184,185,Internal Medicine,626,,Cardiovascular Disease,2561,
207RI0001X,Allopathic & Osteopathic Physicians,Internal Medicine,Clinical & Laboratory Immunology,Physician,167,184,185,Internal Medicine,626,,Clinical & Laboratory Immunology,2562,
207RC0001X,Allopathic & Osteopathic Physicians,Internal Medicine,Clinical Cardiac Electrophysiology,Physician,167,184,185,Internal Medicine,626,,Clinical Cardiac Electrophysiology,2563,
207RC0200X,Allopathic & Osteopathic Physicians,Internal Medicine,Critical Care Medicine,Physician,167,184,185,Internal Medicine,626,,Critical Care Medicine,2564,
207QB0505X,Allopathic & Osteopathic Physicians,Internal Medicine,Diabetology,Physician,167,184,185,Internal Medicine,626,,Diabetes,2565,
207RE0101X,Allopathic & Osteopathic Physicians,Internal Medicine,"Endocrinology, Diabetes & Metabolism",Physician,167,184,185,Internal Medicine,626,,Endocrinology-Diabetes and Metabolism,2566,
207RG0100X,Allopathic & Osteopathic Physicians,Internal Medicine,Gastroenterology,Physician,167,184,185,Internal Medicine,626,,Gastroenterology,2567,
207RG0300X,Allopathic & Osteopathic Physicians,Internal Medicine,Geriatric Medicine,Physician,167,184,185,Internal Medicine,626,,Geriatric Medicine,2568,
207RH0000X,Allopathic & Osteopathic Physicians,Internal Medicine,Hematology,Physician,167,184,185,Internal Medicine,626,,Hematology,2569,
207RH0003X,Allopathic & Osteopathic Physicians,Internal Medicine,Hematology & Oncology,Physician,167,184,185,Internal Medicine,626,,Hematology & Oncology,2570,
207RI0008X,Allopathic & Osteopathic Physicians,Internal Medicine,Hepatology,Physician,167,184,185,Internal Medicine,626,,Hepatology,2571,
207RH0002X,Allopathic & Osteopathic Physicians,Internal Medicine,Hospice and Palliative Medicine,Physician,167,184,185,Internal Medicine,626,,Hospice and Palliative Medicine,2572,
207RH0005X,Allopathic & Osteopathic Physicians,Internal Medicine,Hypertension Specialist,Physician,167,184,185,Internal Medicine,626,,Hypertension Specialist,2573,
207RI0200X,Allopathic & Osteopathic Physicians,Internal Medicine,Infectious Disease,Physician,167,184,185,Internal Medicine,626,,Infectious Disease,2574,
207RI0011X,Allopathic & Osteopathic Physicians,Internal Medicine,Interventional Cardiology,Physician,167,184,185,Internal Medicine,626,,Interventional Cardiology,2575,
207RM1200X,Allopathic & Osteopathic Physicians,Internal Medicine,Magnetic Resonance Imaging (MRI),Physician,167,184,185,Internal Medicine,626,,Magnetic Resonance Imaging,2576,
207RX0202X,Allopathic & Osteopathic Physicians,Internal Medicine,Medical Oncology,Physician,167,184,185,Internal Medicine,626,,Medical Oncology,2577,
207RN0300X,Allopathic & Osteopathic Physicians,Internal Medicine,Nephrology,Physician,167,184,185,Internal Medicine,626,,Nephrology,2578,
207RB0002X,Allopathic & Osteopathic Physicians,Internal Medicine,Obesity Medicine,Physician,167,184,185,Internal Medicine,626,,Obesity Medicine,2579,
207RP1002X,Allopathic & Osteopathic Physicians,Internal Medicine,Physician Nutrition Specialist,Physician,167,184,185,Internal Medicine,626,,Physician Nutrition Specialist,2580,
207RP1001X,Allopathic & Osteopathic Physicians,Internal Medicine,Pulmonary Disease,Physician,167,184,185,Internal Medicine,626,,Pulmonary Disease,2581,
207RR0500X,Allopathic & Osteopathic Physicians,Internal Medicine,Rheumatology,Physician,167,184,185,Internal Medicine,626,,Rheumatology,2582,
207RS0012X,Allopathic & Osteopathic Physicians,Internal Medicine,Sleep Medicine,Physician,167,184,185,Internal Medicine,626,,Sleep Medicine,2583,
207RS0010X,Allopathic & Osteopathic Physicians,Internal Medicine,Sports Medicine,Physician,167,184,185,Internal Medicine,626,,Sports Medicine,2584,
207RT0003X,Allopathic & Osteopathic Physicians,Internal Medicine,Transplant Hepatology,Physician,167,184,185,Internal Medicine,626,,Transplant Hepatology,2585,
,,,,Physician,167,184,185,Internal Medicine,626,,Neurocritical Care,2586,
209800000X,Allopathic & Osteopathic Physicians,Legal Medicine,,Physician,167,184,185,Legal Medicine,2711,,,,
207SG0202X,Allopathic & Osteopathic Physicians,Medical Genetics,Clinical Biochemical Genetics,Physician,167,184,185,Clinical Genetics and Genomics,1904,,Clinical Biochemical Genetics,2714,
207SC0300X,Allopathic & Osteopathic Physicians,Medical Genetics,Clinical Cytogenetics,Physician,167,184,185,Clinical Genetics and Genomics,1904,,Clinical Cytogenetics,2587,
207SG0201X,Allopathic & Osteopathic Physicians,Medical Genetics,Clinical Genetics (M.D.),Physician,167,184,185,Clinical Genetics and Genomics,1904,,Clinical Genetics - MD,2588,
207SG0203X,Allopathic & Osteopathic Physicians,Medical Genetics,Clinical Molecular Genetics,Physician,167,184,185,Clinical Genetics and Genomics,1904,,Clinical Molecular Genetics,2589,
207SG0207X,Allopathic & Osteopathic Physicians,Medical Genetics,Medical Biochemical Genetics,Physician,167,184,185,Clinical Genetics and Genomics,1904,,Medical Biochemical Genetics,2590,
207SM0001X,Allopathic & Osteopathic Physicians,Medical Genetics,Molecular Genetic Pathology,Physician,167,184,185,Clinical Genetics and Genomics,1904,,Molecular Genetic pathology,2591,
207SG0205X,Allopathic & Osteopathic Physicians,Medical Genetics,Ph.D. Medical Genetics,Physician,167,184,185,Clinical Genetics and Genomics,1904,,PhD - Medical Genetics,2592,
207T00000X,Allopathic & Osteopathic Physicians,Neurological Surgery,,Physician,167,184,185,Neurological Surgery,1065,,,,
,,,,Physician,167,184,185,Neurological Surgery,1065,,Neurocritical Care,2593,
204D00000X,Allopathic & Osteopathic Physicians,Neuromusculoskeletal Medicine & OMM,,Physician,167,184,185,Neuromusculoskeletal Medicine & OMM,1926,,,,
204C00000X,Allopathic & Osteopathic Physicians,"Neuromusculoskeletal Medicine, Sports Medicine",,Physician,167,184,185,"Neuromusculoskeletal Medicine, Sports Medicine",2710,,,,
207U00000X,Allopathic & Osteopathic Physicians,Nuclear Medicine,,Physician,167,184,185,Nuclear Medicine,183,,,,
207UN0903X,Allopathic & Osteopathic Physicians,Nuclear Medicine,In Vivo & In Vitro Nuclear Medicine,Physician,167,184,185,Nuclear Medicine,183,,In Vivo & In Vitro Nuclear Medicine,2594,
207UN0901X,Allopathic & Osteopathic Physicians,Nuclear Medicine,Nuclear Cardiology,Physician,167,184,185,Nuclear Medicine,183,,Nuclear Cardiology,2595,
207UN0902X,Allopathic & Osteopathic Physicians,Nuclear Medicine,Nuclear Imaging & Therapy,Physician,167,184,185,Nuclear Medicine,183,,Nuclear Imaging & Therapy,2596,
207V00000X,Allopathic & Osteopathic Physicians,Obstetrics & Gynecology,,Physician,167,184,185,Obstetrics & Gynecology,231,,,,
207VC0300X,Allopathic & Osteopathic Physicians,Obstetrics & Gynecology,Complex Family Planning,Physician,167,184,185,Obstetrics and Gynecology,231,,Complex Family Planning,2597,
207VC0200X,Allopathic & Osteopathic Physicians,Obstetrics & Gynecology,Critical Care Medicine,Physician,167,184,185,Obstetrics and Gynecology,231,,Critical Care Medicine,2598,
207VF0040X,Allopathic & Osteopathic Physicians,Obstetrics & Gynecology,Urogynecology and Reconstructive Pelvic Surgery,Physician,167,184,185,Obstetrics and Gynecology,231,,Urogynecology and Reconstructive Pelvic Surgery,2599,
207VX0201X,Allopathic & Osteopathic Physicians,Obstetrics & Gynecology,Gynecologic Oncology,Physician,167,184,185,Obstetrics and Gynecology,231,,Gynecologic Oncology,2600,
207VG0400X,Allopathic & Osteopathic Physicians,Obstetrics & Gynecology,Gynecology,Physician,167,184,185,Obstetrics and Gynecology,231,,Gynecology,2601,
207VH0002X,Allopathic & Osteopathic Physicians,Obstetrics & Gynecology,Hospice and Palliative Medicine,Physician,167,184,185,Obstetrics and Gynecology,231,,Hospice and Palliative Medicine,2602,
207VM0101X,Allopathic & Osteopathic Physicians,Obstetrics & Gynecology,Maternal & Fetal Medicine,Physician,167,184,185,Obstetrics and Gynecology,231,,Maternal - Fetal Medicine,2603,
207VB0002X,Allopathic & Osteopathic Physicians,Obstetrics & Gynecology,Obesity Medicine,Physician,167,184,185,Obstetrics and Gynecology,231,,Obesity Medicine,2604,
207VX0000X,Allopathic & Osteopathic Physicians,Obstetrics & Gynecology,Obstetrics,Physician,167,184,185,Obstetrics and Gynecology,231,,Obstetrics,2605,
207VE0102X,Allopathic & Osteopathic Physicians,Obstetrics & Gynecology,Reproductive Endocrinology,Physician,167,184,185,Obstetrics and Gynecology,231,,Reproductive Endocrinology and Infertility,2606,
,,,,Physician,167,184,185,Obstetrics and Gynecology,231,,Female Pelvic Medicine and Reconstructive Surgery,2607,
207W00000X,Allopathic & Osteopathic Physicians,Ophthalmology,,Physician,167,184,185,Ophthalmology,100,,,,
207WX0120X,Allopathic & Osteopathic Physicians,Ophthalmology,Cornea and External Diseases Specialist,Physician,167,184,185,Ophthalmology,100,,Cornea and External Diseases Specialist,2608,
207WX0009X,Allopathic & Osteopathic Physicians,Ophthalmology,Glaucoma Specialist,Physician,167,184,185,Ophthalmology,100,,Glaucoma Specialist,2609,
207WX0109X,Allopathic & Osteopathic Physicians,Ophthalmology,Neuro-ophthalmology,Physician,167,184,185,Ophthalmology,100,,Neuro-ophthalmology,2610,
207WX0200X,Allopathic & Osteopathic Physicians,Ophthalmology,Ophthalmic Plastic and Reconstructive Surgery,Physician,167,184,185,Ophthalmology,100,,Ophthalmic Plastic and Reconstructive Surgery,2611,
207WX0110X,Allopathic & Osteopathic Physicians,Ophthalmology,Pediatric Ophthalmology and Strabismus Specialist,Physician,167,184,185,Ophthalmology,100,,Pediatric Ophthalmology and Strabismus Specialist,2612,
207WX0107X,Allopathic & Osteopathic Physicians,Ophthalmology,Retina Specialist,Physician,167,184,185,Ophthalmology,100,,Retina Specialist,2613,
207WX0108X,Allopathic & Osteopathic Physicians,Ophthalmology,Uveitis and Ocular Inflammatory Disease,Physician,167,184,185,Ophthalmology,100,,Uveitis and Ocular Inflammatory Disease,2614,
,,,,Physician,167,184,185,Ophthalmology,100,,Oculoplastic Surgery,2615,
204E00000X,Allopathic & Osteopathic Physicians,Oral & Maxillofacial Surgery,,Physician,167,184,185,Oral & Maxillofacial Surgery,355,,,,
207X00000X,Allopathic & Osteopathic Physicians,Orthopaedic Surgery,,Physician,167,184,185,Orthopedic Surgery,637,,,,
207XS0114X,Allopathic & Osteopathic Physicians,Orthopaedic Surgery,Adult Reconstructive Orthopaedic Surgery,Physician,167,184,185,Orthopedic Surgery,637,,Adult Reconstructive Orthopedic Surgery,2616,
207XX0004X,Allopathic & Osteopathic Physicians,Orthopaedic Surgery,Foot and Ankle Surgery,Physician,167,184,185,Orthopedic Surgery,637,,Foot and Ankle Surgery,2617,
207XS0106X,Allopathic & Osteopathic Physicians,Orthopaedic Surgery,Hand Surgery,Physician,167,184,185,Orthopedic Surgery,637,,Surgery of the Hand,2618,
207XS0117X,Allopathic & Osteopathic Physicians,Orthopaedic Surgery,Orthopaedic Surgery of the Spine,Physician,167,184,185,Orthopedic Surgery,637,,Orthopedic Surgery of the Spine,2619,
207XX0801X,Allopathic & Osteopathic Physicians,Orthopaedic Surgery,Orthopaedic Trauma,Physician,167,184,185,Orthopedic Surgery,637,,Orthopedic Trauma,2620,
207XP3100X,Allopathic & Osteopathic Physicians,Orthopaedic Surgery,Pediatric Orthopaedic Surgery,Physician,167,184,185,Orthopedic Surgery,637,,Pediatric Orthopedic Surgery,2621,
207XX0005X,Allopathic & Osteopathic Physicians,Orthopaedic Surgery,Sports Medicine,Physician,167,184,185,Orthopedic Surgery,637,,Sports Medicine,2622,
207Y00000X,Allopathic & Osteopathic Physicians,Otolaryngology,,Physician,167,184,185,Otolaryngology - Head & Neck Surgery,43,,,,
207YS0123X,Allopathic & Osteopathic Physicians,Otolaryngology,Facial Plastic Surgery,Physician,167,184,185,Otolaryngology - Head & Neck Surgery,43,,Facial Plastic Surgery,2623,
207YX0602X,Allopathic & Osteopathic Physicians,Otolaryngology,Otolaryngic Allergy,Physician,167,184,185,Otolaryngology - Head & Neck Surgery,43,,Otolaryngic Allergy,2624,
